,First Row Processed,Second Row Processed,,,,,,,,,,,,,,,,,,,
0,Time from Start to Finish (seconds),Duration (in seconds),,,,,,,,,,,,,,,,,,,
1,Q1,What is your age (# years),,,,,,,,,,,,,r,age,,,,,
2,Q2,What is your gender,,,,,,,,,,,,,r,gebder,,,,,
3,Q3,In which country do you currently reside,,,,,,,,,,,,,r,country,,,,,
4,Q4,What is the highest level of formal education that you have attained or plan to attain within the next 2 years,,,,,,,,,,,,,r,edu,,,,,
5,Q5,Select the title most similar to your current role (or most recent title if retired),,,,,,,,,,,,,r,posito,,,,,
6,Q6,For how many years have you been writing code and/or programming,,,,,,,,,,,,,,,,,,,
7,Q7,What programming languages do you use on a regular basis,,,,,,,,,,,,,,,,,,,
8,Q8,What programming language would you recommend an aspiring data scientist to learn first,,,,,,,,,,,,,,,,,,,
9,Q9,Which of the following integrated development environments (IDE's) do you use on a regular basis,,,,,,,,,,,,,,,,,,,
10,Q10,Which of the following hosted notebook products do you use on a regular basis,,,,,,,,,,,,,,,,,,,
11,Q11,What type of computing platform do you use most often for your data science projects,,,,,,,,,,,,,,,,,,,
12,Q12,Which types of specialized hardware do you use on a regular basis,,,,,,,,,,,,,,,,,,,
13,Q13,Approximately how many times have you used a TPU (tensor processing unit),,,,,,,,,,,,,,,,,,,
14,Q14,What data visualization libraries or tools do you use on a regular basis,,,,,,,,,,,,,,,,,,,
15,Q15,For how many years have you used machine learning methods,,,,,,,,,,,,,r,ai,,,,,
16,Q16,Which of the following machine learning frameworks do you use on a regular basis,,,,,,,,,,,,,,,,,,,
17,Q17,Which of the following ML algorithms do you use on a regular basis,,,,,,,,,,,,,,,,,,,
18,Q18,Which categories of computer vision methods do you use on a regular basis,,,,,,,,,,,,,,,,,,,
19,Q19,Which of the following natural language processing (NLP) methods do you use on a regular basis,,,,,,,,,,,,,,,,,,,
20,Q20,What is the size of the company where you are employed,,,,,,,,,,,,,,,,,,,
21,Q21,Approximately how many individuals are responsible for data science workloads at your place of business,,,,,,,,,,,,,,,,,,,
22,Q22,Does your current employer incorporate machine learning methods into their business,,,,,,,,,,,,,r,ai,,,,,
23,Q23,Select any activities that make up an important part of your role at work,,,,,,,,,,,,,,,,,,,
24,Q24,What is your current yearly compensation (approximate $USD),,,,,,,,,,,,,r,paid,,,,,
25,Q25,Approximately how much money have you (or your team) spent on machine learning and/or cloud computing services at home (or at work) in the past 5 years (approximate $USD),,,,,,,,,,,,,,,,,,r,ai spend
26,Q26,Which of the following cloud computing platforms do you use on a regular basis,,,,,,,,,,,,,,,,,,,
27,Q27,Do you use any of the following cloud computing products on a regular basis,,,,,,,,,,,,,,,,,,,
28,Q28,Do you use any of the following machine learning products on a regular basis,,,,,,,,,,,,,n,,,,,,
29,Q29,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis",,,,,,,,,,,,,,,,,,,
30,Q30,"Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often",,,,,,,,,,,,,,,,,,,
31,Q31,Which of the following business intelligence tools do you use on a regular basis,,,,,,,,,,,,,,,,,,,
32,Q32,Which of the following business intelligence tools do you use most often,,,,,,,,,,,,,,,,,,,
33,Q33,Do you use any automated machine learning tools (or partial AutoML tools) on a regular basis,,,,,,,,,,,,,,,,,,,
34,Q34,Which of the following automated machine learning tools (or partial AutoML tools) do you use on a regular basis,,,,,,,,,,,,,,,,,,,
35,Q35,Do you use any tools to help manage machine learning experiments,,,,,,,,,,,,,,,,,,,
36,Q36,Where do you publicly share or deploy your data analysis or machine learning applications,,,,,,,,,,,,,,,,,,,
37,Q37,On which platforms have you begun or completed data science courses,,,,,,,,,,,,,,,,,,,
38,Q38,What is the primary tool that you use at work or school to analyze data,,,,,,,,,,,,,,,,,,,
39,Q39,Who/what are your favorite media sources that report on data science topics,,,,,,,,,,,,,,,,,,,
